Date,sigma_real,sigma_pred,Lambda,Cq,Delta,gamma_t,state
2023-06-02,0.13194623,0.1043906640346768,0.02507846508552979,0.1226393034898437,0.013781055612820298,0.16696537310608664,CALMA
2023-06-05,0.12843226,0.10593104903545915,0.02571047953716689,0.14555261927908653,0.016029674297878813,0.13969637862880818,CALMA
2023-06-06,0.11474356,0.1042887761449915,0.024832691830177257,0.12449855880476765,0.0150936023316744,0.16811156502328434,CALMA
2023-06-07,0.11625866,0.09630978228962178,0.016253011819908635,0.0936017153326602,0.010778195353954391,0.17205016358467218,CALMA
2023-06-08,0.115166,0.08957847630237854,0.010925027577210585,0.0359323757940501,0.006689164320202717,0.19194745088264406,CALMA
2023-06-09,0.11483387,0.0920798283153809,0.011665515697743935,0.07786906583075523,0.006701890668657595,0.19173474515751707,CALMA
2023-06-12,0.11687326,0.09128656681353584,0.01087559805155176,0.07375390362683892,0.004689490663526554,0.190054769680887,CALMA
2023-06-13,0.11698027,0.09325886006274565,0.011823578925401427,0.10079604146541299,0.005095546402282525,0.18723844735202613,CALMA
2023-06-14,0.11716637,0.09432363488900974,0.012443606820923178,0.1136041775076832,0.0021109916092394796,0.18420128723727125,CALMA
2023-06-15,0.11670192,0.0934625297910614,0.011758178853828415,0.10629039552115063,0.004376541495756895,0.2141869523298984,CALMA
2023-06-16,0.11516322,0.10214466262522898,0.019656418873775807,0.16369489059587955,0.010586396587412655,0.20376412365270788,CALMA
2023-06-20,0.11535601,0.10525911885267479,0.02281793876326266,0.1788556657681916,0.015378590073370526,0.1999425036566136,CALMA
2023-06-21,0.11757374,0.11717666352718968,0.03549359140888998,0.22730494943291116,0.02508550100835461,0.18671711467056518,VERDE
2023-06-22,0.11754007,0.11802447770276123,0.03643981725903768,0.2300156737980382,0.028275737471382453,0.18729100629792989,VERDE
2023-06-23,0.11294841,0.12369255060715878,0.043598094732057543,0.23436759827989317,-0.007506824193589709,0.2104761626539221,VERDE
2023-06-26,0.11029145,0.14408561284085236,0.06689159638180299,0.29074703284764924,0.022091601683392265,0.20738048733906908,VERDE
2023-06-27,0.11258152,0.15261330070916204,0.08039686612811825,0.2520325195450248,0.03362116498726775,0.21358763137671266,VERDE
2023-06-28,0.10631687,0.14378891052910975,0.07159372470436379,0.20651856972198562,0.033612752619105304,0.21012593512409503,VERDE
2023-06-29,0.10643897,0.1296180592269393,0.054653994815288126,0.17980701808723618,0.031005716485264855,0.2106723384601425,CALMA
2023-06-30,0.10748168,0.1208494673502809,0.04482855226749866,0.15241672456629976,0.0217886657448425,0.20711651004163673,CALMA
2023-07-03,0.10470508,0.11178842074949419,0.03365263769986592,0.1410354860079971,0.014881204385751606,0.19704351211709956,CALMA
2023-07-05,0.0963923,0.11795986192253644,0.03879026187032605,0.18972571683355277,0.017268912558265313,0.23859530184951325,CALMA
2023-07-06,0.1014185,0.1136473487200685,0.03344981927360264,0.18466267312863144,0.011752137755399955,0.24740478228134963,CALMA
2023-07-07,0.10248041,0.12124607977171578,0.04178040953102918,0.21144299715017115,0.026140197482649303,0.2153234938896755,VERDE
2023-07-10,0.10084629,0.12495190603837573,0.045074586760350026,0.23722014440371458,0.03392846782211676,0.2038552480221432,VERDE
2023-07-11,0.10118059,0.1307555395858539,0.05151000040223921,0.2564692292859334,0.039831616989004816,0.204349319936717,VERDE
2023-07-12,0.10312839,0.1338900396120716,0.05451332055564393,0.2746817798762051,0.039834139111117765,0.19546548913071377,VERDE
2023-07-13,0.10240505,0.14035690344692126,0.0616190040018198,0.2972087379861169,0.04498707647677233,0.18887796898771303,VERDE
2023-07-14,0.10113908,0.13391395568904213,0.05584419256037721,0.25317946559552196,0.04059347735673794,0.19128138483183474,VERDE
2023-07-17,0.10143951,0.1122213004726541,0.03165984756282314,0.1833857248412591,0.024320423736955463,0.19558268862016337,CALMA
2023-07-18,0.09625816,0.1026376142027771,0.02202410408913958,0.1351986818820882,0.012934417681912563,0.22268025574758468,CALMA
2023-07-19,0.09452491,0.0909643034215036,0.011598135186337084,0.05481746397950006,0.007559855754796734,0.22481662793320495,CALMA
2023-07-20,0.09650235,0.10541237979697551,0.023894443068173843,0.16436418171583086,0.014710590799336669,0.2435587502475934,CALMA
2023-07-21,0.09342024,0.1139529829549706,0.03174616599283599,0.21947227647298323,0.015085437091944211,0.2680726301004136,VERDE
2023-07-24,0.09350845,0.10916305155905251,0.02887729085142319,0.1631723387479282,0.0167680761933413,0.26379562883658536,CALMA
2023-07-25,0.0868637,0.10187192648117407,0.020491592755194826,0.14396772543433434,0.006537075495445579,0.2928008982719782,CALMA
2023-07-26,0.08380545,0.10885327196684123,0.02870585455843918,0.15929790756891876,0.012148577387448907,0.2865095249818413,CALMA
2023-07-27,0.08286321,0.1107841016077386,0.029067916442681647,0.19513632313623855,0.004025937045849193,0.3004810444160107,CALMA
2023-07-28,0.08708602,0.10180604442171774,0.021059325981783596,0.13314683539946828,0.002790555363762843,0.2723778591818259,CALMA
2023-07-31,0.08671531,0.10020455960609338,0.02027774697434084,0.11138454223191456,-0.008620940929608103,0.26773321592970234,CALMA
2023-08-01,0.07979654,0.10706423410442903,0.02777444927328562,0.1359515141737238,0.008567712350230041,0.28976550715948746,CALMA
2023-08-02,0.0957494,0.10410204151947633,0.0234626389000998,0.1431218923453279,0.014439219860157997,0.28210955522578657,CALMA
2023-08-03,0.09596786,0.10584934310247972,0.02369626428178867,0.17710949180279068,0.004312557939931584,0.2552361381231883,CALMA
2023-08-04,0.09340943,0.1154708285019139,0.03364895726560624,0.22087120292633416,0.005096096796579418,0.27367646631185744,VERDE
2023-08-07,0.09665183,0.10895763922132871,0.028328376979810853,0.16780458788544877,0.014764159604434494,0.2625357099227239,CALMA
2023-08-08,0.09839136,0.10261576863421315,0.021070009332285707,0.15051174624366237,0.009945594369344722,0.24635372344205766,CALMA
2023-08-09,0.09980108,0.09503707412294708,0.014262762004666897,0.09896046490524388,0.0024736358787640867,0.2605025960427413,CALMA
2023-08-10,0.0964273,0.09459225814862313,0.013617616535533596,0.09999856449008843,0.006310842908884086,0.26809097806823584,CALMA
2023-08-11,0.09139795,0.09622154893932747,0.014839748607945756,0.11507390890718192,0.006593200685719507,0.27258605716117923,CALMA
2023-08-14,0.09386344,0.10422695981580278,0.023446901578769733,0.14608848069430092,-0.008732411790512415,0.2630442548488823,CALMA
2023-08-15,0.1005795,0.10941969359474206,0.028599886753738202,0.17332206217729243,-0.004686935284219667,0.2611915207419677,CALMA
2023-08-16,0.09871236,0.10937372489312101,0.028480478378211525,0.1743019216557393,-0.0014473277690878021,0.2250468578862247,CALMA
2023-08-17,0.09980429,0.11215644029508033,0.03128666087454087,0.1881553051325861,-0.002457686083347505,0.22170351950067468,CALMA
2023-08-18,0.09850686,0.11975616724492251,0.04013832212147029,0.20633563457158852,-0.012963245245613023,0.1918257216384869,VERDE
2023-08-21,0.10276022,0.1236636223382949,0.04359443844747328,0.23380139940967948,-0.0009103643652809447,0.1870994538792358,VERDE
2023-08-22,0.10087313,0.12080938145747953,0.041262866433882175,0.21054566439143835,0.007772722646296571,0.19844383433112017,VERDE
2023-08-23,0.10919072,0.11901288115722117,0.04032013680347121,0.18722497755808176,0.0063534319945232585,0.19337191096307874,CALMA
2023-08-24,0.11686954,0.1242705726856334,0.047472397504380634,0.18278604850863153,0.014629839422174086,0.17447911720891818,CALMA
2023-08-25,0.11944868,0.1288967889393556,0.052771080086687246,0.19533603730236865,0.021548976778618466,0.17025206650914743,CALMA
2023-08-28,0.11579133,0.12232821609123286,0.04575950650937409,0.16904854985049536,0.0028326420445762626,0.16173326936913898,CALMA
2023-08-29,0.12809054,0.12289703084341491,0.04572884456075716,0.18187854812529464,0.004010781928342574,0.14884236782900956,CALMA
2023-08-30,0.12896994,0.12188609353651597,0.044806096942108874,0.1752454947509969,-0.001414322389314361,0.13065973229827615,CALMA
2023-08-31,0.11970142,0.12662873049046505,0.050052387237233695,0.1911844700208655,-0.01287743739961257,0.1279388508885618,CALMA
2023-09-01,0.11950905,0.12788376188952907,0.05063231845328936,0.2087777141795214,-0.002050108973415791,0.12454054732799157,VERDE
2023-09-05,0.11892989,0.12265110462949032,0.04450740927252942,0.1967605617058013,0.011965908517112621,0.13240063952653106,CALMA
2023-09-06,0.11692415,0.10670768893736082,0.02998576882195394,0.09163921149916165,0.017493497123434044,0.14047595954731454,CALMA
2023-09-07,0.11657677,0.10635647560152235,0.028506161050838166,0.10851199614884101,0.01621320141283016,0.13367328014088878,CALMA
2023-09-08,0.11425256,0.10322368279647876,0.025250223919896474,0.09451619643795468,-0.0011713950574968393,0.1362788513253216,CALMA
2023-09-11,0.11666787,0.10486821020219578,0.02594385174814316,0.11866618242743684,0.007909678692596265,0.13850152243312297,CALMA
2023-09-12,0.11839902,0.10441580885202886,0.025058702283363484,0.12351102756437879,0.010689691492943246,0.14122365401861767,CALMA
2023-09-13,0.11665653,0.11347102144200477,0.03483914504231175,0.15785516559985036,-0.006847352388241513,0.14705627126643914,CALMA
2023-09-14,0.11258357,0.13096869431774047,0.051585608356386065,0.2598359646903845,0.0003252515885225765,0.18279797482322183,VERDE
2023-09-15,0.11792865,0.14493050631181145,0.06782477997262217,0.29361027919376825,-0.014194825624504064,0.16998415601219763,VERDE
2023-09-18,0.11406071,0.15093882195702996,0.0757472583521715,0.29268877897819046,-0.02662106911980912,0.15322512879591657,VERDE
2023-09-19,0.11450296,0.14777335884925266,0.07205815898679716,0.2851522606867601,-0.010960535122679103,0.15459908354024798,VERDE
2023-09-20,0.11752227,0.13862474278503287,0.06511454636684984,0.2018468472407748,-0.025356991468403343,0.14498744917656592,VERDE
2023-09-21,0.130596,0.13896775983899182,0.06498824527845949,0.21136764910709227,-0.016168168495805796,0.14217549068040775,VERDE
2023-09-22,0.12363374,0.14625528937858864,0.07283601676651874,0.23939482977430834,-0.018395539473886027,0.11527595339329083,VERDE
2023-09-25,0.11639756,0.15744471110877958,0.08482344457374955,0.2834575024010688,-0.01518525609201727,0.12326281632478998,VERDE
2023-09-26,0.12349478,0.15927997766271698,0.08675170751195355,0.29131151266693855,-0.009767597854061512,0.12920724066557315,VERDE
2023-09-27,0.12049314,0.15354370577901325,0.0802253005094691,0.2750272988537293,-0.004436159259110312,0.11616563748118033,VERDE
2023-09-28,0.10919008,0.15263954218375933,0.07956360649754796,0.2663880088608814,-0.012493904587130754,0.1423760346336569,VERDE
